job_id,processed_title,processed_description,processed_location,views,applies,processed_company_name,work_type,average_salary
921716,marketing coordinator,job descriptiona leading real estate firm new jersey seeking administrative marketing coordinator experience graphic design working closely fun kind ambitious member sale team dynamic executive team daily basis opportunity part highly respected real estate brokerage reputation exceptional marketing extraordinary culture cooperation must creative proactive positive importantly person please responsible respectful please proficient adobe creative cloud indesign illustrator photoshop microsoft office suite fantastic taste person love working people eager office environment work directly marketing team communicate daily core staff large team agent description brief overview skill interest considered work role evolves receive organize marketing request track task communicate marketing team agent prepare print material sign open submit order printer communicate track deadlinesgraphic design managing brand strategy messaging website social medium video online advertising print placement receive organize prioritize marketing request fulfill agent design request including postcard sign email marketing property brochure using template creating custom maintain brand asset generic filesevents plan execute event manage contact vendor event planning sponsorshipsour company committed creating diverse environment proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran type pay expected hour per week benefit paid time hour shiftmonday fridayexperience marketing year preferred graphic design year preferred work location person,princeton nj,0.0647711871934175,-0.187622961797692,corcoran sawyer smith,1,-0.2453811334749915
1829192,mental health,aspen therapy wellness committed serving client best practice help change improvement better quality life believe providing secure supportive environment grow clinician learn foster longevity career part mission statement thank taking time explore career u excited new group practice community looking quality supervision work towards licensure ability serve population accepting variety insurance panel may good fit supervisor trained emdr utilize part work perspective trauma lens actively looking hire therapist area passionate working adult committed growth excellence field located old town square fort collins value strengthened diversity desire warm welcoming place people believe racial ethnic equality gender equity social inclusion position requirement possibility graduate level psychological degreemasters social work licensed professional counselor candidate lpcc clinical social worker lcsw professional counselor lpc therapist lmft relating wanting deliver high quality mental healthcareseeking quality supervision growth healthy environmentwhat offer flexible work employment commission basedbuilding full time workjump commission well monthly full timeweekly supervision providedpaid weekly team meeting paid wellness flexibilitysupportive work environment direct access two supervisorsadministrative supportapproved professional development training providedfully automated ehr technology supportstrong balancejob duty conducting intake assessmentsdeveloping implementing treatment plan client based assessment coordinating additional service needed revising necessaryconducting individual session appropriate treatment plan patientapplying psychotherapeutic technique intervention delivery service individual purpose treating emotional behavioral disorder diagnosed assessmentparticipating team meeting order staff new case presenting appropriate patient information team recommending effective treatment maintaining active caseload assigned clientscompleting timely progress note treatment update ehr maintaining clinical documentation accordance regulatory accrediting standardsproviding crisis intervention patient acute distress referring neededperforming case management discharge planning neededexcellent communication interpersonal skillscompassionate empathetic approach patient careplease send resume cover letter info aspen therapy wellness llcaspen therapy wellness mental health service provider focusing work adult outpatient setting working variety mental health issue old town fort collins throughout state colorado via telehealth service please note job description exhaustive additional duty may assigned needed,fort collins co,-0.1579084597856329,-0.1103967087129433,unknown,1,-0.2453061649758737
10998357,assitant restaurant manager,national exemplar accepting application assistant restaurant manager offer highly competitive wage healthcare paid time complimentary dining privilege bonus opportunity serious professional neighborhood restaurant year service looking fit best class organization apply please send resume pardom,cincinnati oh,-0.0758685898459827,-0.1103967087129433,national exemplar,1,-0.0580212235433745
23221523,senior elder law trust estate associate attorney,senior associate attorney elder law trust estate legal team committed providing client quality counsel innovative solution personalized service founded firm offer legal expertise attorney accumulated experience skill decade practice prominent lake success law firm seeking associate attorney growing elder law estate planning practice successful candidate team member strong communication skill desire grow practice experience estate planning administration litigation preferred responsibility include counseling client regard estate planning asset protection formulating overseeing execution medicaid estate plan drafting will revocable irrevocable trust power attorney health care proxy living will estate administration trust administration court appearance estate proceeding supervising paralegal qualification juris doctor degree accredited law schoollicensed practice law new year experienceexperience various advance directive trust willsstrong analytical skillsability build rapport clientsexcellent written verbal communication skill competitive salary commensurate experiencesalary medical dental life insurance pto position based lake success ny,new hyde park ny,0.0178912615136174,-0.1103967087129433,abrams fensterman llp,1,0.291263829164616
35982263,service technician,looking hvac service tech experience commerical industrial equipment minimum yr job mechanical license winger full line union mechanical business piping plumbing sheet metal service,burlington ia,-0.1344684969457328,-0.1103967087129433,unknown,1,-0.0069063377812296
91700727,economic development planning intern,job summary economic development planning intern provide valuable support economic development planning team specific focus urban planning transportation initiative upcoming summer semester role ideal local graduate undergraduate student keen interest economic development city planning passion contributing growth vibrant downtown community function support planning transportation manager dra economic development planning team major planning advocacy initiative ongoing downtown economic development coordination effort related transportation planning major downtownprojects raleigh first bus rapid transit creation report including annual state downtown andquarterly market data collection analysis maintenance downtown small business retail recruitment stakeholder meeting community engagement effort qualification currently enrolled graduate undergraduate program focus urbanplanning economics business research public administration geography sustainability related interest economic development city planning community analytical research skill keen eye microsoft office suite data analysis communication skill written verbal benefit gain experience economic development city closely dynamic experienced team economic development andplanning opportunity local stakeholder contribution physical requirement prolonged period sitting desk working able lift pound able access various department given location position environment role candidate reporting downtown raleigh alliance office fayetteville street suite raleigh nc office space provided onsite dra intern may also field providing support downtown raleigh community dra provide parking regular required work dra also provide option transit pass regular work travel outside periodic travel downtown raleigh dra office required position duty please note job description designed cover contain comprehensive listing activity duty responsibility required employee job duty responsibility activity may change time without notice compensation position temporary position approximately hour week limited maximum term aligned summer university calendar anticipated pay range hour commensurate qualification prior experience position eligible benefit dra apply please submit resume cover letter highlighting interest economic development planning marysell application accepted monday may interview scheduled rolling basis eeo statement equal employment opportunity employer discriminate person race color creed religion national origin political affiliation sex gender identity expression sexual orientation age disability genetic information reason prohibited law referred protected status nondiscrimination opportunity policy extends employment use company facility membership board service leadership volunteerism participation organization program service employment action promotion compensation benefit termination employment,raleigh nc,-0.0641486084260327,-0.0331704556281947,downtown raleigh alliance,2,-0.2453845411340423
103254301,producer,company descriptionraw cereal creative design agency specializing live interactive corporate entertainment mission push boundary create unique immersive experience client pride creative service use technology production role descriptionwe looking director producer creatives ai programmer artist senior motion graphic artist editor etc think something add please reach job,united state,-0.0875885712659327,-0.2648492148824406,raw cereal,0,0.3679361578078334
112576855,building engineer,summary due pending retirement building engineer seeking building engineer salaried professional direct responsibility physical plant historic clubhouse position involves light maintenance task operation building system selection oversight outside contractor administration building maintenance record founded club one oldest exclusive club world known world excellent facility gracious staff clubhouse national historic landmark california designated landmark club provides dining service library athletic facility overnight accommodation qualification professional training certification minimum year experience charge building maintenance strongly desired though consider candidate equivalent combination education high school degree required though consider candidate equivalent education experience experience verifiable competence building system including hvac steam gas electrical plumbing repair work equivalent training excellent communication skill required including proficient oral written communication english fluency required ability speak additional language highly desired good organizational time management skill required computer competency word processing spreadsheet email building system required experience emergency response highly desired must capable taking leadership role emergency must demonstrate working knowledge building code regulation pertaining basic cfc trade certification desired experience supervising maintenance staff equivalent training supervision highly desired physical requirement standing sitting walking moving normal fashion extended period time including kneeling crouching climbing reaching extending hand arm ability bend lift object push pull item weighing finger dexterity manipulate object finger rather whole hand arm communication skill using spoken ability see hear within normal parameter schedule work schedule shall determined accordance business demand typically schedule consists weekday daytime shift chief engineer must available prepared work shift day week needed accomplish full range responsibility responsibility building maintenance maintains aspect building ground highest standard safety cleanliness orderliness efficiency record keeping professionalism proactive duty make recommendation improving system project management coordinate manages maintenance project property supervision train supervises staff vendor outside contractor serf club expert building operation system including hvac steam electrical plumbing fire sprinkler utility laundry fire suppression system dish machine elevator disabled lift lighting irrigation security emergency response handle emergency cooperation management staff take active role training staff safe use equipment system communication interface positively member vendor report additional duty responsibility may assigned time time maintains program keep abreast new equipment technology automation standard code maintenance procedure emergency response benefit k retirement plan employer contribution additional contribution annually qualified participant matching health plan choice plan individual premium paid dependent premium dental plan individual premium paid dependent premium life long term disability paid vacation accrual begin mo employment paid holiday day employment break beverage meal work uniform shirt pant provided maintained club application interested applicant submit full resume formal cover letter explains interest qualification position traditional mail acceptable employer prefers document sent email preferably pdf format job traditional mail attn tom gaston club california street san francisco ca club consider qualified applicant accordance equal employment opportunity policy san francisco fair chance ordinance,san francisco ca,-0.1461884783656828,-0.1103967087129433,unknown,1,0.1123617289971086
1218575,respiratory therapist,child region pediatric healthcare center people make u best kid come cultivate passion purpose professional development environment excellence inclusion team member supported deeply valued opportunity career growth abound grow service space including hubbard center child join highly engaged caring join u providing brighter healthier tomorrow child serve child committed diversity inclusion equal opportunity employer including veteran people disability brief overviewprovides appropriate respiratory care specific pediatric population accordance hospital ass plan implement appropriate respiratory plan care based cardiopulmonary need patient evaluates effectiveness plan care recommends revision multidisciplinary care team essential set operate device mechanical ventilator therapeutic gas administration apparatus environmental control system aerosol generator following specified parameter treatment determine requirement treatment type method duration therapy precaution taken medication dosage compatible physician order read physician order measure arterial blood gas review patient information ass patient condition explain treatment procedure patient gain cooperation allay fear monitor patient physiological response therapy vital sign arterial blood gas blood chemistry change consult physician adverse reaction occur administer therapeutic gas including nitrogen nitric oxide heliox etc enforce safety rule ensure careful adherence physician order maintain chart contain patient pertinent identification therapy information inspect clean test maintain respiratory therapy equipment ensure equipment functioning safely efficiently notify repair necessary educate patient family patient condition teach appropriate disease management technique breathing exercise use medication respiratory equipment perform drainage assist instruct patient performance breathing exercise conduct lung capacity test evaluate patient cardiopulmonary function provide emergency care including artificial respiration external cardiac massage assistance cardiopulmonary resuscitation complete required respiratory therapy competency test within specified timeline demonstrate competency identified technical skill respiratory department specific work duty may also include clinical instructor schedule dependent contract respiratory therapy school supervise contracted respiratory therapy rt student specified school clinical hospital setting orient rt student role hospital includes scope service policy procedure patient safety professionalism orient rt student equipment used rt child provides opportunity directly supervised hand learning clinical setting responsible accurate completion documentation respiratory therapy performed rt student responsible accurate hand patient information ordered respiratory therapy performed rt attendance work essential function physical requirement described physical requirement section education qualificationsgraduate accredited ama approved school respiratory care accredited national board respiratory care required andbachelor degree ama approved accredited school respiratory care preferredexperience qualificationsminimum year experience respiratory therapy preferred andexperience working pediatric patient preferredskills abilitiesdemonstrates competency technical skill related respiratory therapy certificationsrcp licensed respiratory care practitioner current valid nebraska license respiratory care practitioner required andbcls basic life support american heart association required andrrt registered respiratory therapist current valid national registered respiratory therapist rrt credential within year required andcurrent valid national registered respiratory therapist credential within three year hire required andpals pediatric advanced life support within day required child best kid best career child put first together improve life every child,omaha ne,-0.1344684969457328,-0.1103967087129433,child nebraska,1,-0.0069063377812296
2264355,worship leader,exciting time part church looking right energetic leader join mission make disciple jesus palm bay florida beyond type candidate looking best fit position lead worship team creatively craft meaningful inspiring musical worship worship experience also shepherd team help disciple make ideal candidate invest life part church family position also someone willing ministry work see move forward skill vibrant growing relationship jesus faithful commitment vision mission leadership standard ability lead worship musician create excellent authentic modern worship example hillsong elevation etc exceptional vocal instrumental multitracks planning center online propresenter required must learn quickly responsibility create musical worship sunday morning worship conduct rehearsal prepare duty assigned local connection team building plus position start ability increase demand church require hour per week le apply include link leading worship worship service setting,palm bay fl,-0.1110285341058328,-0.1103967087129433,bay west church,4,-0.0069063377812296
